"Name","Live Bytes","Live Objects"
"byte[]","9,328,296 B (23.1%)","85,519 (10.2%)"
"java.lang.Object[]","4,818,776 B (11.9%)","122,282 (14.6%)"
"java.util.TreeMap$Entry","3,043,280 B (7.5%)","76,082 (9.1%)"
"java.lang.String","1,899,648 B (4.7%)","79,152 (9.5%)"
"java.lang.reflect.Method","1,886,456 B (4.7%)","21,437 (2.6%)"
"int[]","1,691,928 B (4.2%)","5,962 (0.7%)"
"char[]","1,564,824 B (3.9%)","5,673 (0.7%)"
"java.lang.Class","1,549,560 B (3.8%)","13,007 (1.6%)"
"java.util.concurrent.ConcurrentHashMap$Node","1,204,672 B (3%)","37,646 (4.5%)"
"java.io.ObjectStreamClass$WeakClassKey","1,192,000 B (2.9%)","37,250 (4.5%)"
"java.util.LinkedHashMap$Entry","564,640 B (1.4%)","14,116 (1.7%)"
"java.util.TreeMap$KeyIterator","558,112 B (1.4%)","17,441 (2.1%)"
"java.util.HashMap$Node[]","543,536 B (1.3%)","6,316 (0.8%)"
"java.lang.Class[]","510,800 B (1.3%)","22,749 (2.7%)"
"java.util.HashMap$Node","507,264 B (1.3%)","15,852 (1.9%)"
"java.util.TreeMap","412,224 B (1%)","8,588 (1%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","408,760 B (1%)","465 (0.1%)"
"java.util.LinkedHashMap","374,696 B (0.9%)","6,691 (0.8%)"
"java.lang.StackTraceElement","322,272 B (0.8%)","6,714 (0.8%)"
"java.lang.Object","308,736 B (0.8%)","19,296 (2.3%)"
"java.util.TreeMap$EntryIterator","281,664 B (0.7%)","8,802 (1.1%)"
"org.h2.mvstore.MVMap[]","262,160 B (0.6%)","1 (0%)"
"java.lang.reflect.Field","252,288 B (0.6%)","3,504 (0.4%)"
"java.util.Collections$UnmodifiableCollection$1","219,864 B (0.5%)","9,161 (1.1%)"
"java.io.SerialCallbackContext","214,704 B (0.5%)","8,946 (1.1%)"
"javax.management.openmbean.CompositeDataSupport","204,336 B (0.5%)","8,514 (1%)"
"java.lang.Class$ReflectionData","137,984 B (0.3%)","2,156 (0.3%)"
"java.lang.String[]","136,992 B (0.3%)","4,119 (0.5%)"
"java.util.TreeMap$EntrySet","136,832 B (0.3%)","8,552 (1%)"
"java.util.TreeMap$KeySet","136,336 B (0.3%)","8,521 (1%)"
"java.lang.reflect.Method[]","132,936 B (0.3%)","2,101 (0.3%)"
"java.lang.ref.SoftReference","132,920 B (0.3%)","3,323 (0.4%)"
"java.lang.invoke.MemberName","130,896 B (0.3%)","2,727 (0.3%)"
"java.lang.reflect.Constructor","126,288 B (0.3%)","1,754 (0.2%)"
"java.util.HashMap","122,400 B (0.3%)","2,550 (0.3%)"
"java.lang.management.ThreadInfo","116,064 B (0.3%)","1,116 (0.1%)"
"java.util.concurrent.ConcurrentHashMap","109,568 B (0.3%)","1,712 (0.2%)"
"java.util.ArrayList","104,304 B (0.3%)","4,346 (0.5%)"
"org.springframework.core.MethodClassKey","103,224 B (0.3%)","4,301 (0.5%)"
"java.lang.Integer","102,704 B (0.3%)","6,419 (0.8%)"
"long[]","102,184 B (0.3%)","239 (0%)"
"java.lang.StackTraceElement[]","95,320 B (0.2%)","2,219 (0.3%)"
"javax.management.openmbean.CompositeData[]","88,880 B (0.2%)","3,384 (0.4%)"
"java.lang.invoke.MethodType","84,560 B (0.2%)","2,114 (0.3%)"
"java.io.ObjectStreamClass","81,720 B (0.2%)","681 (0.1%)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","67,840 B (0.2%)","2,120 (0.3%)"
"org.springframework.core.ResolvableType","62,784 B (0.2%)","1,308 (0.2%)"
"sun.util.locale.LocaleObjectCache$CacheEntry","62,480 B (0.2%)","1,562 (0.2%)"
"short[]","52,784 B (0.1%)","33 (0%)"
"org.apache.tomcat.util.modeler.AttributeInfo","51,312 B (0.1%)","1,069 (0.1%)"
"org.springframework.core.annotation.AnnotationAttributes","51,072 B (0.1%)","798 (0.1%)"
"java.lang.invoke.ResolvedMethodName","47,616 B (0.1%)","1,984 (0.2%)"
"java.util.LinkedList$Node","44,904 B (0.1%)","1,871 (0.2%)"
"java.util.LinkedList","43,616 B (0.1%)","1,363 (0.2%)"
"java.lang.ref.ReferenceQueue","43,296 B (0.1%)","1,353 (0.2%)"
"ch.qos.logback.classic.Logger","42,576 B (0.1%)","887 (0.1%)"
"org.springframework.util.ConcurrentReferenceHashMap$Segment","42,240 B (0.1%)","1,056 (0.1%)"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","41,856 B (0.1%)","1,308 (0.2%)"
"org.springframework.util.ConcurrentReferenceHashMap$Reference[]","40,408 B (0.1%)","1,056 (0.1%)"
"java.util.LinkedHashSet","39,520 B (0.1%)","2,470 (0.3%)"
"java.lang.Long","38,592 B (0.1%)","1,608 (0.2%)"
"sun.reflect.generics.tree.SimpleClassTypeSignature","37,824 B (0.1%)","1,576 (0.2%)"
"org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference","37,104 B (0.1%)","773 (0.1%)"
"sun.reflect.annotation.AnnotationInvocationHandler","36,624 B (0.1%)","1,526 (0.2%)"
"java.lang.ref.WeakReference","33,696 B (0.1%)","1,053 (0.1%)"
"org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition","32,032 B (0.1%)","182 (0%)"
"java.lang.reflect.Constructor[]","31,712 B (0.1%)","1,366 (0.2%)"
"java.lang.invoke.LambdaForm$Name","31,424 B (0.1%)","982 (0.1%)"
"java.lang.Package$VersionInfo","30,000 B (0.1%)","750 (0.1%)"
"sun.reflect.generics.tree.TypeArgument[]","29,352 B (0.1%)","1,576 (0.2%)"
"java.util.concurrent.ConcurrentHashMap$ValueIterator","29,064 B (0.1%)","519 (0.1%)"
"org.h2.table.Column","27,896 B (0.1%)","317 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync","26,976 B (0.1%)","562 (0.1%)"
"java.lang.StringBuilder","26,952 B (0.1%)","1,123 (0.1%)"
"java.lang.Package","26,464 B (0.1%)","827 (0.1%)"
"java.util.concurrent.CopyOnWriteArrayList","25,680 B (0.1%)","1,070 (0.1%)"
"char[][]","25,608 B (0.1%)","446 (0.1%)"
"java.util.Locale","25,600 B (0.1%)","800 (0.1%)"
"sun.util.locale.BaseLocale","25,568 B (0.1%)","799 (0.1%)"
"org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager","25,344 B (0.1%)","1,056 (0.1%)"
"sun.util.locale.BaseLocale$Key","24,960 B (0.1%)","780 (0.1%)"
"boolean[]","24,840 B (0.1%)","184 (0%)"
"sun.reflect.generics.tree.ClassTypeSignature","24,320 B (0.1%)","1,520 (0.2%)"
"java.lang.reflect.Type[]","24,152 B (0.1%)","1,024 (0.1%)"
"org.springframework.beans.factory.support.RootBeanDefinition","24,024 B (0.1%)","143 (0%)"
"java.lang.ref.SoftReference[]","23,936 B (0.1%)","352 (0%)"
"java.lang.Class$AnnotationData","23,616 B (0.1%)","984 (0.1%)"
"java.lang.reflect.Field[]","23,352 B (0.1%)","564 (0.1%)"
"java.lang.invoke.DirectMethodHandle$Constructor","22,320 B (0.1%)","558 (0.1%)"
"org.apache.tomcat.util.modeler.OperationInfo","22,272 B (0.1%)","464 (0.1%)"
"jdk.internal.reflect.NativeConstructorAccessorImpl","22,224 B (0.1%)","926 (0.1%)"
"java.util.LinkedHashMap$LinkedEntrySet","22,192 B (0.1%)","1,387 (0.2%)"
"java.lang.invoke.DirectMethodHandle","21,888 B (0.1%)","684 (0.1%)"
"java.lang.ref.ReferenceQueue$Lock","21,712 B (0.1%)","1,357 (0.2%)"
"org.springframework.core.annotation.AnnotationUtils$DefaultValueHolder","21,696 B (0.1%)","1,356 (0.2%)"
"java.lang.Module","21,224 B (0.1%)","379 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType[]","21,096 B (0.1%)","285 (0%)"
"java.util.LinkedHashMap$LinkedKeySet","20,752 B (0.1%)","1,297 (0.2%)"
"javax.management.MBeanAttributeInfo","20,256 B (0.1%)","633 (0.1%)"
"org.springframework.util.ConcurrentReferenceHashMap$Entry","18,576 B (0%)","774 (0.1%)"
"org.thymeleaf.engine.HTMLAttributeName","17,920 B (0%)","448 (0.1%)"
"java.lang.management.MonitorInfo[]","17,600 B (0%)","1,100 (0.1%)"
"java.lang.management.LockInfo[]","17,600 B (0%)","1,100 (0.1%)"
"java.security.ProtectionDomain","16,560 B (0%)","414 (0%)"
"java.lang.management.LockInfo","16,416 B (0%)","684 (0.1%)"
"java.security.CodeSource","16,040 B (0%)","401 (0%)"
"java.util.LinkedHashMap$LinkedValues","15,664 B (0%)","979 (0.1%)"
"jdk.internal.reflect.DelegatingClassLoader","15,520 B (0%)","194 (0%)"
"jdk.internal.reflect.DelegatingConstructorAccessorImpl","15,520 B (0%)","970 (0.1%)"
"java.util.jar.Attributes$Name","14,904 B (0%)","621 (0.1%)"
"org.springframework.beans.factory.annotation.InjectionMetadata","14,616 B (0%)","609 (0.1%)"
"java.io.ObjectStreamField","14,200 B (0%)","355 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock","13,920 B (0%)","580 (0.1%)"
"java.net.URL","13,824 B (0%)","216 (0%)"
"java.io.ObjectStreamClass$FieldReflectorKey","13,520 B (0%)","338 (0%)"
"javax.management.ObjectName$Property[]","13,336 B (0%)","414 (0%)"
"java.util.ArrayList$Itr","13,280 B (0%)","415 (0%)"
"javax.management.MBeanOperationInfo","12,680 B (0%)","317 (0%)"
"sun.reflect.generics.repository.ClassRepository","12,512 B (0%)","391 (0%)"
"java.lang.CharSequence[]","12,496 B (0%)","360 (0%)"
"org.thymeleaf.util.ProcessorConfigurationUtils$ElementTagProcessorWrapper","12,440 B (0%)","311 (0%)"
"java.io.DataOutputStream","12,280 B (0%)","307 (0%)"
"java.util.RegularEnumSet","12,224 B (0%)","382 (0%)"
"java.util.HashSet","12,144 B (0%)","759 (0.1%)"
"java.util.WeakHashMap$Entry[]","12,112 B (0%)","135 (0%)"
"org.springframework.beans.BeanMetadataAttribute","12,072 B (0%)","503 (0.1%)"
"java.lang.invoke.LambdaForm$Name[]","11,888 B (0%)","241 (0%)"
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl","11,760 B (0%)","490 (0.1%)"
"java.io.ObjectInputStream$HandleTable$HandleList[]","11,648 B (0%)","178 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_L","11,552 B (0%)","361 (0%)"
"org.springframework.core.ResolvableType[]","11,520 B (0%)","497 (0.1%)"
"sun.reflect.generics.factory.CoreReflectionFactory","11,448 B (0%)","477 (0.1%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements","11,360 B (0%)","284 (0%)"
"java.lang.invoke.LambdaForm","11,328 B (0%)","236 (0%)"
"java.lang.String[][]","11,184 B (0%)","40 (0%)"
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef","11,184 B (0%)","233 (0%)"
"jdk.internal.math.FDBigInteger","10,912 B (0%)","341 (0%)"
"org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog","10,728 B (0%)","447 (0.1%)"
"jdk.internal.loader.NativeLibraries","10,080 B (0%)","315 (0%)"
"java.util.Collections$UnmodifiableSet","9,840 B (0%)","615 (0.1%)"
"org.springframework.core.MethodParameter","9,792 B (0%)","153 (0%)"
"org.apache.tomcat.util.modeler.ParameterInfo","9,792 B (0%)","306 (0%)"
"org.springframework.cglib.core.Signature","9,744 B (0%)","406 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$HashEntry[]","9,728 B (0%)","64 (0%)"
"org.springframework.core.convert.converter.GenericConverter$ConvertiblePair","9,720 B (0%)","405 (0%)"
"java.lang.reflect.Parameter","9,680 B (0%)","242 (0%)"
"java.lang.invoke.LambdaForm$NamedFunction","9,664 B (0%)","302 (0%)"
"org.thymeleaf.processor.element.MatchingAttributeName","9,664 B (0%)","302 (0%)"
"sun.reflect.generics.scope.ClassScope","9,648 B (0%)","402 (0%)"
"jdk.internal.reflect.NativeMethodAccessorImpl","9,552 B (0%)","398 (0%)"
"java.lang.module.ModuleDescriptor$Exports","9,504 B (0%)","396 (0%)"
"org.apache.tomcat.util.modeler.ParameterInfo[]","9,480 B (0%)","464 (0.1%)"
"org.apache.tomcat.util.buf.ByteChunk","9,456 B (0%)","197 (0%)"
"sun.reflect.generics.tree.ClassSignature","9,384 B (0%)","391 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock","9,280 B (0%)","580 (0.1%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock","9,280 B (0%)","580 (0.1%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter","9,280 B (0%)","580 (0.1%)"
"java.util.logging.LogManager$LoggerWeakRef","9,168 B (0%)","191 (0%)"
"java.util.zip.Inflater","8,960 B (0%)","140 (0%)"
"org.apache.tomcat.util.buf.CharChunk","8,928 B (0%)","186 (0%)"
"org.hibernate.validator.internal.engine.constraintvalidation.ClassBasedValidatorDescriptor","8,784 B (0%)","366 (0%)"
"org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition","8,736 B (0%)","78 (0%)"
"org.apache.tomcat.util.buf.MessageBytes","8,736 B (0%)","182 (0%)"
"java.io.ObjectOutputStream$HandleTable","8,720 B (0%)","218 (0%)"
"org.springframework.asm.Type","8,544 B (0%)","267 (0%)"
"sun.reflect.generics.tree.ClassTypeSignature[]","8,472 B (0%)","391 (0%)"
"sun.reflect.generics.tree.FormalTypeParameter[]","8,336 B (0%)","476 (0.1%)"
"java.util.jar.JarFile$JarFileEntry","8,256 B (0%)","86 (0%)"
"org.h2.value.DataType","8,160 B (0%)","102 (0%)"
"jdk.internal.reflect.DelegatingMethodAccessorImpl","8,112 B (0%)","507 (0.1%)"
"org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata","8,080 B (0%)","202 (0%)"
"org.apache.logging.slf4j.SLF4JLogger","8,032 B (0%)","251 (0%)"
"java.io.ObjectInputStream$BlockDataInputStream","8,008 B (0%)","143 (0%)"
"com.sun.proxy.$Proxy24","7,968 B (0%)","498 (0.1%)"
"sun.security.util.KnownOIDs","7,904 B (0%)","247 (0%)"
"javax.management.MBeanParameterInfo","7,776 B (0%)","243 (0%)"
"sun.rmi.transport.ConnectionInputStream","7,776 B (0%)","108 (0%)"
"java.util.WeakHashMap$Entry","7,640 B (0%)","191 (0%)"
"java.lang.invoke.DirectMethodHandle$Special","7,600 B (0%)","190 (0%)"
"org.springframework.core.ResolvableType$DefaultVariableResolver","7,504 B (0%)","469 (0.1%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","7,360 B (0%)","230 (0%)"
"java.rmi.server.UID","7,200 B (0%)","225 (0%)"
"org.thymeleaf.engine.HTMLAttributeDefinition","7,200 B (0%)","225 (0%)"
"org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment","7,168 B (0%)","128 (0%)"
"java.nio.HeapByteBuffer","7,112 B (0%)","127 (0%)"
"java.lang.invoke.MethodTypeForm","7,008 B (0%)","219 (0%)"
"sun.rmi.transport.ConnectionOutputStream","6,976 B (0%)","109 (0%)"
"sun.reflect.generics.tree.FieldTypeSignature[]","6,944 B (0%)","318 (0%)"
"java.util.concurrent.CopyOnWriteArraySet","6,928 B (0%)","433 (0.1%)"
"org.springframework.beans.factory.support.MethodOverrides","6,880 B (0%)","430 (0.1%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName","6,816 B (0%)","284 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionOutcome","6,792 B (0%)","283 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome","6,792 B (0%)","283 (0%)"
"java.util.regex.Pattern","6,776 B (0%)","77 (0%)"
"org.springframework.core.convert.support.GenericConversionService$ConvertersForPair","6,768 B (0%)","423 (0.1%)"
"java.util.Hashtable$Entry","6,752 B (0%)","211 (0%)"
"org.springframework.boot.context.properties.source.PropertyMapping","6,720 B (0%)","280 (0%)"
"org.springframework.core.type.classreading.MethodMetadataReadingVisitor","6,664 B (0%)","119 (0%)"
"java.util.concurrent.ConcurrentHashMap$TreeNode","6,624 B (0%)","138 (0%)"
"java.security.Principal[]","6,624 B (0%)","414 (0%)"
"java.lang.Thread","6,624 B (0%)","18 (0%)"
"java.security.ProtectionDomain$Key","6,624 B (0%)","414 (0%)"
"javax.management.ObjectName$Property","6,552 B (0%)","273 (0%)"
"javax.management.ImmutableDescriptor","6,504 B (0%)","271 (0%)"
"org.h2.expression.function.FunctionInfo","6,400 B (0%)","200 (0%)"
"java.util.ImmutableCollections$Set12","6,384 B (0%)","266 (0%)"
"java.util.WeakHashMap","6,240 B (0%)","130 (0%)"
"java.lang.Short","6,160 B (0%)","385 (0%)"
"org.apache.logging.log4j.message.DefaultFlowMessageFactory","6,072 B (0%)","253 (0%)"
"com.sun.org.apache.xerces.internal.xni.QName","6,016 B (0%)","188 (0%)"
"org.jboss.logging.Log4j2Logger","6,000 B (0%)","250 (0%)"
"org.springframework.asm.Type[]","5,960 B (0%)","218 (0%)"
"java.util.HashMap$ValueIterator","5,840 B (0%)","146 (0%)"
"org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor","5,832 B (0%)","81 (0%)"
"org.thymeleaf.processor.element.IElementProcessor[]","5,800 B (0%)","353 (0%)"
"javax.management.MBeanAttributeInfo[]","5,784 B (0%)","89 (0%)"
"org.h2.mvstore.cache.CacheLongKeyLIRS$Entry","5,768 B (0%)","103 (0%)"
"java.net.URI","5,760 B (0%)","72 (0%)"
"com.sun.jmx.mbeanserver.ConvertingMethod","5,696 B (0%)","178 (0%)"
"java.lang.module.ModuleDescriptor$Requires","5,696 B (0%)","178 (0%)"
"java.util.zip.ZipFile$Source","5,680 B (0%)","71 (0%)"
"java.util.ImmutableCollections$List12","5,544 B (0%)","231 (0%)"
"java.util.logging.LogManager$LogNode","5,504 B (0%)","172 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot","5,496 B (0%)","229 (0%)"
"org.springframework.core.convert.support.GenericConversionService$ConverterAdapter","5,472 B (0%)","171 (0%)"
"org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$HashEntry[]","5,376 B (0%)","128 (0%)"
"org.springframework.cglib.proxy.MethodProxy","5,344 B (0%)","167 (0%)"
"org.h2.value.Value[]","5,336 B (0%)","41 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap$Segment[]","5,280 B (0%)","66 (0%)"
"com.fasterxml.jackson.databind.type.ClassKey","5,280 B (0%)","220 (0%)"
"java.lang.management.ThreadInfo[]","5,184 B (0%)","36 (0%)"
"org.hibernate.engine.jdbc.spi.TypeInfo","5,152 B (0%)","92 (0%)"
"javax.management.ObjectName","5,152 B (0%)","161 (0%)"
"com.fasterxml.jackson.databind.introspect.AnnotatedMethod","5,040 B (0%)","126 (0%)"
"org.springframework.beans.MutablePropertyValues","5,040 B (0%)","210 (0%)"
"java.lang.Character$UnicodeBlock","4,944 B (0%)","309 (0%)"
"java.util.logging.Logger","4,872 B (0%)","87 (0%)"
"jdk.internal.reflect.UnsafeStaticObjectFieldAccessorImpl","4,864 B (0%)","152 (0%)"
"org.thymeleaf.engine.HTMLElementName","4,800 B (0%)","120 (0%)"
"javax.management.MBeanParameterInfo[]","4,680 B (0%)","190 (0%)"
"org.thymeleaf.standard.processor.StandardRemovableAttributeTagProcessor","4,656 B (0%)","97 (0%)"
"org.h2.mvstore.RootReference","4,648 B (0%)","83 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot[]","4,648 B (0%)","191 (0%)"
"java.io.DataInputStream","4,640 B (0%)","145 (0%)"
"java.io.ObjectInputStream$PeekInputStream","4,576 B (0%)","143 (0%)"
"java.util.LinkedHashMap$LinkedKeyIterator","4,576 B (0%)","143 (0%)"
"java.io.ObjectInputStream$HandleTable","4,576 B (0%)","143 (0%)"
"sun.nio.fs.WindowsFileAttributes","4,544 B (0%)","71 (0%)"
"java.lang.module.ModuleDescriptor","4,544 B (0%)","71 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionMessage","4,528 B (0%)","283 (0%)"
"org.apache.tomcat.util.threads.TaskThread","4,512 B (0%)","12 (0%)"
"java.math.BigInteger","4,440 B (0%)","111 (0%)"
"org.h2.value.ValueString","4,368 B (0%)","182 (0%)"
"sun.rmi.transport.StreamRemoteCall","4,360 B (0%)","109 (0%)"
"java.io.ObjectOutputStream$BlockDataOutputStream","4,360 B (0%)","109 (0%)"
"jdk.internal.loader.AbstractClassLoaderValue$Sub","4,344 B (0%)","181 (0%)"
"java.io.ObjectInputStream$FieldValues","4,296 B (0%)","179 (0%)"
"antlr.ANTLRHashString","4,288 B (0%)","134 (0%)"
"java.io.ObjectStreamField[]","4,232 B (0%)","148 (0%)"
"org.springframework.boot.web.server.MimeMappings$Mapping","4,224 B (0%)","176 (0%)"
"javax.management.MBeanInfo","4,224 B (0%)","88 (0%)"
"java.lang.Byte","4,096 B (0%)","256 (0%)"
"org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider","4,096 B (0%)","128 (0%)"
"com.fasterxml.jackson.databind.introspect.AnnotationMap","4,080 B (0%)","255 (0%)"
"jdk.internal.module.ServicesCatalog$ServiceProvider","4,080 B (0%)","170 (0%)"
"org.apache.logging.log4j.message.ParameterizedMessageFactory","4,032 B (0%)","252 (0%)"
"java.util.Collections$UnmodifiableMap","4,032 B (0%)","126 (0%)"
"java.io.FileCleanable","4,032 B (0%)","72 (0%)"
"java.util.ImmutableCollections$SetN","4,008 B (0%)","167 (0%)"
"org.apache.logging.log4j.message.MessageFormatMessageFactory","4,000 B (0%)","250 (0%)"
"java.util.jar.JarFile","3,976 B (0%)","71 (0%)"
"java.io.ObjectInputStream$FieldValues[]","3,960 B (0%)","165 (0%)"
"org.apache.tomcat.util.modeler.ManagedBean","3,920 B (0%)","70 (0%)"
"jdk.internal.module.ModuleReferenceImpl","3,920 B (0%)","70 (0%)"
"java.util.HashMap$Values","3,920 B (0%)","245 (0%)"
"org.thymeleaf.engine.Text","3,864 B (0%)","69 (0%)"
"org.h2.mvstore.Page$Leaf","3,840 B (0%)","80 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes","3,840 B (0%)","240 (0%)"
"org.thymeleaf.engine.HTMLElementDefinition","3,808 B (0%)","119 (0%)"
"com.sun.jmx.mbeanserver.MXBeanMapping[]","3,776 B (0%)","189 (0%)"
"java.lang.invoke.MethodHandle[]","3,760 B (0%)","48 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRSHashEntry","3,696 B (0%)","66 (0%)"
"java.lang.reflect.Parameter[]","3,624 B (0%)","144 (0%)"
"org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter","3,624 B (0%)","151 (0%)"
"java.io.FileDescriptor","3,560 B (0%)","89 (0%)"
"com.sun.beans.introspect.PropertyInfo","3,560 B (0%)","89 (0%)"
"org.springframework.core.convert.TypeDescriptor","3,528 B (0%)","147 (0%)"
"java.util.logging.Logger$ConfigurationData","3,520 B (0%)","88 (0%)"
"sun.reflect.generics.reflectiveObjects.TypeVariableImpl","3,520 B (0%)","110 (0%)"
"java.util.Arrays$ArrayList","3,504 B (0%)","146 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","3,488 B (0%)","26 (0%)"
"sun.rmi.transport.Transport$$Lambda$165.0x0000000800c78450","3,472 B (0%)","217 (0%)"
"sun.rmi.transport.Transport$1","3,456 B (0%)","108 (0%)"
"org.h2.engine.Session","3,456 B (0%)","12 (0%)"
"org.h2.table.MetaTable","3,432 B (0%)","33 (0%)"
"jdk.internal.loader.URLClassPath$JarLoader","3,408 B (0%)","71 (0%)"
"javax.management.openmbean.OpenMBeanAttributeInfoSupport","3,392 B (0%)","53 (0%)"
"java.util.Collections$UnmodifiableRandomAccessList","3,384 B (0%)","141 (0%)"
"org.springframework.util.LinkedMultiValueMap","3,376 B (0%)","211 (0%)"
"java.util.zip.Inflater$InflaterZStreamRef","3,360 B (0%)","140 (0%)"
"com.sun.beans.util.Cache$Kind$Soft","3,360 B (0%)","84 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader","3,344 B (0%)","38 (0%)"
"org.springframework.data.util.Lazy","3,336 B (0%)","139 (0%)"
"java.security.AccessControlContext","3,320 B (0%)","83 (0%)"
"sun.nio.fs.WindowsPath","3,280 B (0%)","82 (0%)"
"org.thymeleaf.standard.processor.StandardDOMEventAttributeTagProcessor","3,264 B (0%)","68 (0%)"
"com.sun.jmx.remote.util.OrderClassLoaders","3,256 B (0%)","37 (0%)"
"com.sun.management.internal.DiagnosticCommandArgumentInfo","3,160 B (0%)","79 (0%)"
"org.springframework.cglib.proxy.Enhancer$EnhancerKey$$KeyFactoryByCGLIB$$4ce19e8f","3,080 B (0%)","77 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRS","3,072 B (0%)","64 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$Segment","3,072 B (0%)","64 (0%)"
"java.lang.invoke.LambdaFormEditor$Transform","3,072 B (0%)","64 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper","3,040 B (0%)","38 (0%)"
"java.text.DecimalFormat","3,024 B (0%)","21 (0%)"
"javax.management.MBeanOperationInfo[]","2,992 B (0%)","77 (0%)"
"sun.reflect.generics.repository.MethodRepository","2,960 B (0%)","74 (0%)"
"java.util.concurrent.ConcurrentLinkedQueue$Node","2,952 B (0%)","123 (0%)"
"java.util.ResourceBundle$CacheKey","2,952 B (0%)","41 (0%)"
"java.lang.reflect.TypeVariable[]","2,920 B (0%)","134 (0%)"
"java.lang.annotation.Annotation[]","2,920 B (0%)","129 (0%)"
"java.util.regex.Pattern$BmpCharProperty","2,904 B (0%)","121 (0%)"
"java.io.File","2,848 B (0%)","89 (0%)"
"com.sun.org.apache.xerces.internal.xni.QName[]","2,848 B (0%)","10 (0%)"
"java.util.Hashtable$Entry[]","2,840 B (0%)","34 (0%)"
"java.util.Collections$SetFromMap","2,832 B (0%)","118 (0%)"
"org.thymeleaf.engine.ElementDefinitions$HTMLElementDefinitionSpec","2,832 B (0%)","118 (0%)"
"java.nio.StringCharBuffer","2,800 B (0%)","50 (0%)"
"java.lang.RuntimePermission","2,760 B (0%)","115 (0%)"
"java.util.zip.ZipFile$CleanableResource","2,752 B (0%)","86 (0%)"
"sun.reflect.generics.tree.FormalTypeParameter","2,736 B (0%)","114 (0%)"
"java.lang.invoke.DirectMethodHandle$Accessor","2,720 B (0%)","68 (0%)"
"java.util.HashMap$KeyIterator","2,720 B (0%)","68 (0%)"
"java.util.HashMap$KeySet","2,720 B (0%)","170 (0%)"
"sun.reflect.generics.tree.MethodTypeSignature","2,720 B (0%)","85 (0%)"
"org.springframework.cglib.proxy.MethodProxy$CreateInfo","2,688 B (0%)","84 (0%)"
"java.util.Collections$SingletonList","2,688 B (0%)","112 (0%)"
"java.rmi.server.ObjID","2,688 B (0%)","112 (0%)"
"jdk.internal.reflect.UnsafeObjectFieldAccessorImpl","2,688 B (0%)","84 (0%)"
"java.util.regex.Pattern$GroupTail","2,688 B (0%)","112 (0%)"
"sun.rmi.transport.ObjectEndpoint","2,664 B (0%)","111 (0%)"
"org.springframework.cglib.proxy.MethodProxy$FastClassInfo","2,656 B (0%)","83 (0%)"
"java.security.ProtectionDomain[]","2,648 B (0%)","101 (0%)"
"java.lang.invoke.DirectMethodHandle$Interface","2,640 B (0%)","66 (0%)"
